 


Threshold Search
CHAMPAIGN WILLARD AP (IL)
17019
Lat/Lon/Elev: 40.0397/-88.2778/754
Years: 1972 to 2019
Limited to: 01/01 - 12/31 and 00:00 - 24:00
Criterion: Dew Point Temperature (F) greater than 75
Mode: Chronological list of hours meeting criteria
29,496 out of 376,600 hours missing (7.8%)
1982-07-27,17:00,77
1982-07-27,18:00,76
1982-08-02,11:00,78
1982-08-03,10:00,77
1982-08-04,11:00,77
1982-08-04,18:00,79
1982-08-04,19:00,79
1982-08-05,08:00,77
1982-08-05,10:00,76
1982-08-05,11:00,77
1982-08-05,12:00,78
1982-08-05,13:00,77
1982-08-05,14:00,76
1982-08-06,10:00,76
1982-08-06,11:00,77
1982-08-06,12:00,78
1982-08-06,13:00,79
1982-08-06,14:00,76
1982-08-06,15:00,76
1982-08-06,19:00,76
1982-08-07,10:00,76
1982-08-07,11:00,77
1982-08-07,13:00,76
1982-08-07,14:00,77
1982-08-07,15:00,76
1982-08-08,14:00,76
1982-08-16,15:00,78
1982-09-01,12:00,76
1982-09-01,16:00,76
1982-09-01,17:00,76
1983-06-24,09:00,76
1983-06-28,17:00,76
1983-06-29,12:00,76
1983-06-29,13:00,76
1983-07-01,21:00,77
1983-07-02,09:00,76
1983-07-02,10:00,76
1983-07-03,09:00,79
1983-07-03,11:00,76
1983-07-03,13:00,76
1983-07-03,14:00,76
1983-07-15,07:00,76
1983-07-20,09:00,78
1983-07-23,20:00,76
1983-07-29,11:00,76
1983-07-29,12:00,76
1983-07-31,09:00,79
1983-07-31,11:00,76
1983-07-31,12:00,76
1983-07-31,13:00,76
1983-08-05,07:00,77
1983-08-05,09:00,78
1983-08-05,14:00,79
1983-08-05,15:00,76
1983-08-05,16:00,78
1983-08-05,18:00,78
1983-08-05,19:00,78
1983-08-05,20:00,78
1983-08-05,21:00,77
1983-08-17,14:00,76
1983-08-17,16:00,76
1983-08-17,19:00,79
1983-08-18,11:00,76
1983-08-18,12:00,78
1983-08-18,13:00,79
1983-08-18,14:00,79
1983-08-18,15:00,80
1983-08-18,16:00,80
1983-08-18,17:00,83
1983-08-18,18:00,83
1983-08-18,19:00,85
1983-08-18,21:00,82
1983-08-19,08:00,76
1983-08-19,10:00,76
1983-08-19,11:00,76
1983-08-19,12:00,77
1983-08-19,14:00,77
1983-08-19,16:00,78
1983-08-19,17:00,78
1983-08-19,18:00,78
1983-08-19,19:00,79
1983-08-19,21:00,78
1983-08-20,18:00,79
1983-08-20,19:00,80
1983-08-20,20:00,79
1983-08-20,21:00,76
1983-08-22,18:00,76
1983-08-22,19:00,76
1983-08-24,11:00,76
1983-08-24,12:00,76
1983-08-24,19:00,77
1983-08-24,20:00,77
1983-08-24,21:00,76
1983-08-25,18:00,76
1983-08-26,11:00,76
1983-08-26,12:00,77
1983-08-26,14:00,77
1983-08-26,15:00,77
1983-08-26,16:00,78
1983-08-26,18:00,77
1983-08-26,19:00,76
1983-08-27,12:00,77
1983-08-27,13:00,78
1983-08-27,14:00,77
1983-08-27,15:00,77
1983-08-27,16:00,78
1983-08-27,17:00,77
1983-08-27,18:00,78
1983-08-27,19:00,76
1984-08-07,10:00,79
1984-08-07,15:00,78
1984-08-07,17:00,77
1984-08-07,18:00,78
1984-08-07,19:00,79
1984-08-07,20:00,78
1984-08-08,11:00,77
1984-08-08,12:00,76
1984-08-08,13:00,78
1984-08-28,13:00,79
1984-08-29,17:00,76
1984-08-29,18:00,77
1984-08-29,19:00,76
1984-08-29,22:00,76
1984-09-12,15:00,76
1985-06-26,08:00,76
1985-06-26,09:00,76
1985-06-26,10:00,76
1985-06-26,12:00,76
1985-06-27,11:00,76
1985-06-27,15:00,76
1985-07-08,15:00,76
1985-07-08,17:00,76
1985-07-08,19:00,78
1985-07-09,09:00,76
1985-07-09,12:00,78
1985-07-09,13:00,78
1985-07-09,14:00,77
1985-07-09,15:00,78
1985-07-09,16:00,77
1985-07-09,17:00,76
1985-07-09,18:00,76
1985-07-09,19:00,76
1985-07-09,20:00,76
1985-07-13,09:00,77
1985-07-13,10:00,79
1985-07-13,11:00,79
1985-07-13,12:00,79
1985-07-13,13:00,79
1985-07-13,14:00,79
1985-07-13,15:00,78
1985-07-13,16:00,80
1985-07-13,17:00,78
1985-07-13,18:00,78
1985-07-13,19:00,78
1985-07-13,21:00,78
1985-07-13,22:00,77
1985-07-13,23:00,76
1985-07-14,13:00,76
1985-07-14,14:00,77
1985-07-14,15:00,79
1985-07-14,16:00,78
1985-07-14,17:00,77
1985-07-14,18:00,78
1985-07-14,19:00,81
1985-07-14,20:00,79
1985-07-14,21:00,77
1985-07-21,10:00,76
1985-07-25,13:00,76
1985-07-25,14:00,76
1985-07-25,15:00,76
1985-07-25,17:00,76
1985-07-25,18:00,77
1985-07-25,19:00,77
1985-08-06,08:00,76
1985-08-06,09:00,77
1985-08-06,10:00,77
1985-08-06,11:00,78
1985-08-06,12:00,78
1985-08-06,13:00,79
1985-08-06,14:00,78
1985-08-06,15:00,78
1985-08-06,16:00,78
1985-08-07,13:00,76
1985-08-07,15:00,76
1985-08-09,13:00,76
1985-08-09,14:00,78
1985-08-09,15:00,77
1985-08-09,16:00,77
1985-08-09,17:00,77
1985-08-09,18:00,77
1985-08-09,19:00,76
1985-08-09,20:00,76
1985-08-12,15:00,76
1985-08-12,16:00,77
1985-08-12,17:00,77
1985-08-12,18:00,77
1985-08-12,19:00,76
1985-08-12,20:00,76
1985-08-12,21:00,76
1985-08-12,22:00,76
1985-08-12,23:00,76
1985-08-13,07:00,76
1985-08-13,08:00,77
1985-08-13,09:00,77
1985-08-13,10:00,77
1985-08-13,11:00,78
1985-08-13,12:00,79
1985-08-13,13:00,79
1985-08-13,14:00,79
1985-08-14,14:00,77
1985-08-14,16:00,76
1985-08-14,17:00,77
1985-08-14,18:00,78
1985-08-14,19:00,77
1985-08-17,17:00,77
1985-09-05,11:00,78
1985-09-05,12:00,77
1985-09-05,13:00,78
1985-09-05,14:00,78
1985-09-05,15:00,77
1985-09-05,18:00,76
1985-09-05,22:00,76
1985-09-06,08:00,76
1985-09-06,09:00,77
1985-09-06,10:00,76
1985-09-06,11:00,77
1985-09-06,12:00,77
1985-09-06,13:00,77
1985-09-06,15:00,77
1985-09-06,16:00,77
1985-09-06,17:00,77
1985-09-06,18:00,77
1985-09-06,19:00,76
1985-09-06,20:00,77
1985-09-06,21:00,76
1985-09-06,22:00,76
1985-09-07,08:00,76
1985-09-07,09:00,77
1985-09-07,10:00,78
1985-09-07,11:00,79
1985-09-07,12:00,78
1985-09-07,13:00,77
1985-09-07,14:00,77
1985-09-07,15:00,78
1985-09-07,16:00,78
1985-09-07,17:00,78
1985-09-07,18:00,78
1985-09-07,19:00,78
1985-09-07,20:00,77
1985-09-07,21:00,77
1985-09-07,22:00,76
1985-09-07,23:00,76
1985-09-09,09:00,76
1985-09-09,10:00,77
1985-09-09,11:00,77
1985-09-09,12:00,77
1985-09-09,13:00,78
1985-09-09,14:00,77
1985-09-09,15:00,77
1986-06-10,14:00,76
1986-06-11,12:00,77
1986-06-20,19:00,76
1986-06-29,12:00,76
1986-06-29,16:00,77
1986-06-29,20:00,76
1986-07-06,10:00,76
1986-07-06,11:00,77
1986-07-06,12:00,77
1986-07-06,14:00,80
1986-07-06,15:00,81
1986-07-06,16:00,77
1986-07-06,17:00,81
1986-07-06,18:00,87
1986-07-06,19:00,80
1986-07-07,11:00,76
1986-07-07,13:00,76
1986-07-07,14:00,76
1986-07-07,15:00,78
1986-07-07,16:00,78
1986-07-07,17:00,79
1986-07-07,18:00,79
1986-07-07,19:00,78
1986-07-07,20:00,76
1986-07-07,21:00,77
1986-07-08,09:00,77
1986-07-08,10:00,85
1986-07-08,18:00,76
1986-07-08,19:00,76
1986-07-10,13:00,76
1986-07-10,14:00,76
1986-07-10,15:00,76
1986-07-10,16:00,78
1986-07-10,17:00,78
1986-07-10,18:00,78
1986-07-10,19:00,78
1986-07-12,17:00,76
1986-07-12,18:00,76
1986-07-13,16:00,76
1986-07-13,17:00,77
1986-07-14,12:00,76
1986-07-14,15:00,76
1986-07-15,08:00,77
1986-07-15,09:00,80
1986-07-15,16:00,80
1986-07-15,17:00,82
1986-07-15,18:00,78
1986-07-15,19:00,78
1986-07-16,10:00,76
1986-07-16,11:00,76
1986-07-16,12:00,76
1986-07-16,13:00,76
1986-07-16,14:00,76
1986-07-16,15:00,82
1986-07-16,16:00,80
1986-07-16,17:00,80
1986-07-16,18:00,80
1986-07-17,09:00,77
1986-07-17,10:00,78
1986-07-17,11:00,79
1986-07-17,12:00,76
1986-07-17,13:00,76
1986-07-17,14:00,77
1986-07-17,15:00,78
1986-07-17,17:00,78
1986-07-17,18:00,77
1986-07-17,20:00,78
1986-07-17,21:00,77
1986-07-17,22:00,76
1986-07-18,08:00,76
1986-07-18,09:00,77
1986-07-18,10:00,78
1986-07-18,11:00,76
1986-07-18,12:00,77
1986-07-18,13:00,78
1986-07-18,14:00,76
1986-07-18,15:00,77
1986-07-18,16:00,77
1986-07-18,17:00,78
1986-07-18,18:00,79
1986-07-18,19:00,79
1986-07-18,20:00,77
1986-07-18,21:00,76
1986-07-19,08:00,76
1986-07-19,09:00,77
1986-07-19,10:00,76
1986-07-19,11:00,78
1986-07-19,13:00,77
1986-07-19,14:00,77
1986-07-19,15:00,77
1986-07-19,16:00,78
1986-07-19,17:00,79
1986-07-19,18:00,79
1986-07-19,19:00,79
1986-07-19,20:00,78
1986-07-19,21:00,77
1986-07-23,18:00,76
1986-07-25,13:00,78
1986-07-25,14:00,77
1986-07-25,15:00,77
1986-07-25,16:00,77
1986-07-25,17:00,77
1986-07-25,18:00,76
1986-07-28,12:00,77
1986-07-28,15:00,77
1986-07-28,16:00,76
1986-07-28,18:00,76
1986-07-28,19:00,77
1986-07-31,18:00,77
1986-08-26,08:58,77
1986-09-25,12:00,77
1986-09-25,14:00,76
1987-05-20,13:00,76
1987-06-12,09:00,76
1987-06-12,10:00,76
1987-06-12,11:00,77
1987-06-12,12:00,77
1987-06-12,13:00,76
1987-06-12,18:00,76
1987-06-12,19:00,76
1987-06-13,09:00,76
1987-06-14,09:00,77
1987-06-14,10:00,79
1987-06-14,11:00,81
1987-06-14,16:00,78
1987-06-14,17:00,77
1987-06-14,18:00,79
1987-06-14,19:00,79
1987-06-14,20:00,77
1987-06-14,21:00,78
1987-06-14,23:00,77
1987-06-15,07:00,77
1987-06-15,09:00,78
1987-06-15,11:00,76
1987-06-15,14:00,78
1987-06-15,15:00,78
1987-06-15,16:00,78
1987-06-16,13:00,76
1987-06-19,11:00,76
1987-06-19,12:00,76
1987-06-19,13:00,76
1987-06-19,14:00,76
1987-06-20,10:00,77
1987-06-20,11:00,77
1987-06-20,12:00,77
1987-06-20,13:00,78
1987-06-20,14:00,77
1987-06-20,15:00,76
1987-06-20,16:00,78
1987-06-20,17:00,78
1987-06-20,18:00,77
1987-06-20,19:00,77
1987-06-20,20:00,77
1987-06-20,21:00,76
1987-06-20,22:00,76
1987-06-22,11:00,78
1987-07-03,17:00,77
1987-07-04,12:00,77
1987-07-06,12:00,77
1987-07-06,13:00,78
1987-07-06,14:00,77
1987-07-06,15:00,78
1987-07-06,16:00,78
1987-07-06,17:00,79
1987-07-08,15:00,77
1987-07-08,17:00,76
1987-07-08,18:00,76
1987-07-10,10:00,76
1987-07-10,11:00,76
1987-07-10,12:00,76
1987-07-10,15:00,76
1987-07-10,16:00,76
1987-07-11,12:00,77
1987-07-11,13:00,78
1987-07-11,14:00,78
1987-07-11,15:00,76
1987-07-11,16:00,77
1987-07-11,17:00,76
1987-07-11,18:00,78
1987-07-11,19:00,77
1987-07-11,20:00,76
1987-07-11,21:00,76
1987-07-12,11:00,77
1987-07-12,12:00,76
1987-07-12,14:00,76
1987-07-17,16:00,77
1987-07-18,08:00,77
1987-07-19,11:00,76
1987-07-19,12:00,76
1987-07-19,13:00,77
1987-07-19,14:00,78
1987-07-19,15:00,77
1987-07-19,16:00,77
1987-07-19,17:00,76
1987-07-19,18:00,77
1987-07-19,19:00,77
1987-07-21,08:00,77
1987-07-21,09:00,77
1987-07-22,10:00,79
1987-07-23,21:00,77
1987-07-25,17:00,76
1987-07-26,09:00,76
1987-07-26,10:00,77
1987-07-26,11:00,79
1987-07-26,13:00,76
1987-07-26,14:00,76
1987-07-27,16:00,77
1987-07-29,14:00,76
1987-07-29,15:00,77
1987-07-29,16:00,77
1987-07-29,17:00,77
1987-07-29,18:00,78
1987-07-29,19:00,78
1987-07-29,20:00,77
1987-07-29,21:00,77
1987-07-29,23:00,77
1987-07-30,13:00,77
1987-07-30,14:00,79
1987-07-30,16:00,76
1987-07-30,19:00,77
1987-07-30,21:00,76
1987-07-30,23:00,76
1987-07-31,11:00,76
1987-07-31,14:00,76
1987-07-31,15:00,76
1987-07-31,18:00,76
1987-07-31,19:00,76
1987-07-31,20:00,76
1987-07-31,21:00,76
1987-08-01,08:00,77
1987-08-01,09:00,78
1987-08-01,10:00,79
1987-08-01,11:00,79
1987-08-01,12:00,78
1987-08-01,13:00,76
1987-08-01,14:00,76
1987-08-01,15:00,77
1987-08-01,18:00,76
1987-08-01,19:00,77
1987-08-02,07:00,76
1987-08-02,08:00,78
1987-08-02,09:00,79
1987-08-02,10:00,80
1987-08-02,11:00,77
1987-08-02,12:00,79
1987-08-02,13:00,80
1987-08-02,14:00,79
1987-08-02,15:00,86
1987-08-02,16:00,77
1987-08-02,17:00,80
1987-08-02,19:00,81
1987-08-02,20:00,80
1987-08-02,21:00,79
1987-08-02,22:00,76
1987-08-02,23:00,78
1987-08-03,08:00,78
1987-08-03,15:00,76
1987-08-03,17:00,77
1987-08-03,18:00,77
1987-08-13,15:00,76
1987-08-13,16:00,77
1987-08-14,15:00,77
1987-08-14,16:00,76
1987-08-15,11:00,76
1987-08-15,12:00,76
1987-08-15,13:00,77
1987-08-15,14:00,76
1987-08-15,15:00,76
1987-08-15,16:00,77
1987-08-15,17:00,76
1987-08-16,11:00,77
1987-08-16,12:00,77
1987-08-16,13:00,77
1987-08-16,14:00,77
1987-08-16,15:00,76
1987-08-16,17:00,76
1987-08-16,18:00,76
1988-07-06,12:00,82
1988-07-06,13:00,77
1988-07-14,10:00,76
1988-07-14,11:00,76
1988-07-14,12:00,76
1988-07-14,16:00,78
1988-07-14,17:00,78
1988-07-14,18:00,76
1988-07-14,19:00,76
1988-07-15,09:00,77
1988-07-15,10:00,77
1988-07-15,11:00,77
1988-07-15,12:00,77
1988-07-29,12:00,77
1988-07-31,09:00,79
1988-07-31,11:00,77
1988-07-31,13:00,77
1988-07-31,14:00,76
1988-07-31,15:00,76
1988-08-01,08:00,76
1988-08-01,09:00,76
1988-08-01,10:00,77
1988-08-01,11:00,77
1988-08-01,12:00,77
1988-08-01,13:00,78
1988-08-01,14:00,76
1988-08-01,15:00,77
1988-08-01,16:00,76
1988-08-01,17:00,76
1988-08-01,18:00,77
1988-08-01,19:00,78
1988-08-01,20:00,78
1988-08-01,21:00,77
1988-08-02,08:00,76
1988-08-02,09:00,77
1988-08-02,11:00,76
1988-08-02,12:00,76
1988-08-02,13:00,76
1988-08-02,14:00,76
1988-08-02,16:00,76
1988-08-02,18:00,76
1988-08-02,19:00,76
1988-08-03,19:00,76
1988-08-03,20:00,76
1988-08-03,22:00,76
1988-08-04,09:00,77
1988-08-04,10:00,76
1988-08-04,18:00,76
1988-08-04,19:00,76
1988-08-04,20:00,76
1988-08-04,21:00,76
1988-08-04,22:00,76
1988-08-04,23:00,76
1988-08-07,16:00,77
1988-08-07,17:00,77
1988-08-08,11:00,77
1988-08-08,12:00,78
1988-08-08,13:00,77
1988-08-08,14:00,77
1988-08-08,15:00,76
1988-08-08,16:00,76
1988-08-08,17:00,78
1988-08-09,11:00,77
1988-08-09,12:00,79
1988-08-09,13:00,78
1988-08-09,18:00,78
1988-08-09,19:00,77
1988-08-09,20:00,76
1988-08-10,09:00,76
1988-08-10,10:00,78
1988-08-10,11:00,77
1988-08-10,12:00,76
1988-08-10,14:00,77
1988-08-10,15:00,77
1988-08-10,16:00,77
1988-08-10,18:00,76
1988-08-10,19:00,76
1988-08-10,20:00,76
1988-08-10,21:00,76
1988-08-11,08:00,76
1988-08-11,09:00,76
1988-08-11,11:00,76
1988-08-12,06:00,77
1988-08-12,20:00,76
1988-08-12,21:00,76
1988-08-12,22:00,76
1988-08-13,08:00,76
1988-08-13,11:00,76
1988-08-13,12:00,76
1988-08-13,19:00,76
1988-08-14,11:00,78
1988-08-14,12:00,78
1988-08-14,13:00,78
1988-08-14,15:00,78
1988-08-14,19:00,77
1988-08-15,08:00,78
1988-08-15,09:00,80
1988-08-15,10:00,79
1988-08-15,11:00,79
1988-08-15,12:00,78
1988-08-15,13:00,76
1988-08-15,15:00,76
1988-08-15,17:00,78
1988-08-15,18:00,78
1988-08-15,19:00,78
1988-08-15,20:00,77
1988-08-15,21:00,76
1988-08-16,08:00,77
1988-08-16,09:00,78
1988-08-16,11:00,77
1988-08-16,17:00,77
1988-08-16,18:00,79
1988-08-16,21:00,77
1988-08-17,09:00,77
1988-08-17,11:00,77
1988-08-17,12:00,77
1988-08-17,15:00,76
1988-08-17,18:00,76
1988-08-17,19:00,77
1988-08-18,11:00,76
1988-08-18,18:00,77
1988-08-19,19:00,76
1988-09-02,10:00,77
1988-09-18,16:00,77
1989-07-09,09:00,77
1989-07-10,08:00,76
1989-07-10,12:00,77
1989-08-04,16:00,76
1989-08-04,18:00,77
1989-08-04,19:00,76
1989-08-05,12:00,76
1989-08-05,14:00,76
1989-08-05,15:00,76
1989-08-15,13:00,77
1989-08-26,16:00,77
1990-06-08,13:00,76
1990-06-28,13:00,77
1990-06-28,14:00,77
1990-06-28,19:00,77
1990-06-30,08:00,76
1990-06-30,09:00,76
1990-06-30,10:00,76
1990-06-30,11:00,76
1990-06-30,12:00,76
1990-07-01,08:00,77
1990-07-01,09:00,78
1990-07-04,09:00,76
1990-07-04,10:00,79
1990-07-04,11:00,80
1990-07-04,13:00,78
1990-07-04,14:00,79
1990-07-04,15:00,79
1990-07-04,16:00,79
1990-07-04,17:00,77
1990-07-04,18:00,80
1990-07-04,19:00,80
1990-07-04,20:00,78
1990-07-04,21:00,78
1990-07-04,22:00,78
1990-07-04,23:00,77
1990-07-08,10:00,76
1990-07-09,08:00,76
1990-07-09,09:00,76
1990-07-09,10:00,76
1990-07-09,11:00,78
1990-07-09,12:00,80
1990-07-09,13:00,78
1990-07-09,14:00,80
1990-07-09,15:00,78
1990-07-09,16:00,78
1990-07-09,17:00,78
1990-07-09,18:00,78
1990-07-09,19:00,79
1990-07-09,20:00,76
1990-07-09,21:00,77
1990-07-10,19:00,76
1990-07-19,22:00,77
1990-07-29,12:00,76
1990-07-29,14:00,78
1990-07-29,15:00,77
1990-07-29,16:00,76
1990-07-29,19:00,76
1990-08-04,11:00,76
1990-08-17,13:00,77
1990-08-17,14:00,78
1990-08-17,15:00,78
1990-08-17,16:00,78
1990-08-17,18:00,79
1990-08-17,19:00,78
1990-08-17,22:00,76
1990-08-18,09:00,76
1990-08-18,10:00,77
1990-08-18,11:00,79
1990-08-18,12:00,78
1990-08-18,13:00,80
1990-08-18,14:00,78
1990-08-18,15:00,78
1990-08-18,16:00,78
1990-08-18,17:00,78
1990-08-18,20:00,77
1990-08-18,21:00,77
1990-08-19,10:00,78
1990-08-19,11:00,78
1990-08-19,12:00,78
1990-08-19,13:00,77
1990-08-19,15:00,78
1990-08-19,16:00,78
1990-08-19,17:00,78
1990-08-19,18:00,76
1990-08-19,19:00,77
1990-08-19,20:00,76
1990-08-20,13:00,77
1990-08-20,14:00,76
